id;Dataset;k;normalize;meka;weka;Accuracy;Jaccard index;Hamming score;Exact match;Jaccard distance;Hamming loss;ZeroOne loss;Harmonic score;One error;Rank loss;Avg precision;Log Loss (lim. L);Log Loss (lim. D);Micro Precision;Micro Recall;Macro Precision;Macro Recall;F1 (micro averaged);F1 (macro averaged by label);AUPRC (macro averaged);AUROC (macro averaged);Build Time;Test Time;Total Time;Accuracy (per label);Harmonic (per label);Precision (per label);Recall (per label);avg. relevance (test set);avg. relevance (predicted);avg. relevance (difference);Model Size
34;emotions;2;False;meka.classifiers.multilabel.CDN -Ic 46 -I 222;weka.classifiers.trees.RandomForest -- -I 253 -K 0 -depth 16;0.616;0.616;0.829;0.357;0.384;0.171;0.643;0.747;0.241;0.123;0.827;0.378;0.387;0.71;0.756;0.704;0.738;0.732;0.711;0.767;0.876;6.353;26.865;33.218;['0.814', '0.739', '0.794', '0.910', '0.879', '0.839'];['0.768', '0.479', '0.787', '0.898', '0.822', '0.844'];['0.678', '0.545', '0.697', '0.782', '0.820', '0.701'];['0.690', '0.327', '0.943', '0.878', '0.732', '0.857'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['0.296', '0.166', '0.598', '0.276', '0.251', '0.387'];['-0.005', '0.111', '-0.156', '-0.030', '0.030', '-0.070'];7226088
35;emotions;2;True;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.functions.MultilayerPerceptron -- -L 0.9 -M 0.8 -H 39 -R -D;0.309;0.309;0.309;0.0;0.691;0.691;1.0;0.0;0.709;0.481;0.309;1.238;3.657;0.309;1.0;0.309;1.0;0.472;0.469;0.309;0.5;39.069;0.117;39.186;['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['0.000', '0.000', '0.000', '0.000', '0.000', '0.000'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['1.000', '1.000', '1.000', '1.000', '1.000', '1.000'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['1.000', '1.000', '1.000', '1.000', '1.000', '1.000'];['-0.709', '-0.724', '-0.558', '-0.754', '-0.719', '-0.683'];921280
36;emotions;0;False;meka.classifiers.multilabel.RAkELd -P 3 -N 5 -batch-size 10;weka.classifiers.rules.PART -- -M 3 -B;0.379;0.379;0.696;0.167;0.621;0.304;0.833;0.494;0.448;0.327;0.529;0.544;1.597;0.531;0.488;0.518;0.487;0.508;0.499;0.428;0.64;1.685;0.021;1.706;['0.740', '0.646', '0.630', '0.797', '0.682', '0.682'];['0.679', '0.340', '0.602', '0.709', '0.622', '0.592'];['0.567', '0.333', '0.616', '0.612', '0.462', '0.517'];['0.586', '0.214', '0.511', '0.600', '0.536', '0.476'];['0.302', '0.292', '0.458', '0.260', '0.292', '0.328'];['0.313', '0.188', '0.380', '0.255', '0.339', '0.302'];['-0.010', '0.104', '0.078', '0.005', '-0.047', '0.026'];200844
37;emotions;1;False;meka.classifiers.multilabel.RAkELd -P 3 -N 5 -batch-size 10;weka.classifiers.rules.PART -- -M 3 -B;0.447;0.447;0.744;0.223;0.553;0.256;0.777;0.563;0.446;0.292;0.566;0.458;1.358;0.58;0.573;0.579;0.572;0.577;0.574;0.47;0.694;1.672;0.032;1.704;['0.728', '0.668', '0.728', '0.876', '0.738', '0.728'];['0.637', '0.589', '0.708', '0.827', '0.611', '0.649'];['0.517', '0.409', '0.709', '0.740', '0.529', '0.567'];['0.526', '0.491', '0.636', '0.755', '0.482', '0.540'];['0.282', '0.272', '0.436', '0.243', '0.277', '0.312'];['0.287', '0.327', '0.391', '0.248', '0.252', '0.297'];['-0.005', '-0.054', '0.045', '-0.005', '0.025', '0.015'];162871
38;emotions;0;True;meka.classifiers.multilabel.CDN -Ic 93 -I 373;weka.classifiers.functions.MultilayerPerceptron -- -L 0.1 -M 0.1 -H 6 -R -D;0.498;0.498;0.76;0.271;0.502;0.24;0.729;0.615;0.349;0.21;0.75;0.48;0.485;0.634;0.606;0.669;0.598;0.62;0.581;0.658;0.798;22.825;4.414;27.239;['0.792', '0.734', '0.719', '0.849', '0.682', '0.786'];['0.723', '0.193', '0.716', '0.824', '0.656', '0.784'];['0.667', '0.857', '0.693', '0.684', '0.466', '0.645'];['0.621', '0.107', '0.693', '0.780', '0.607', '0.778'];['0.302', '0.292', '0.458', '0.260', '0.292', '0.328'];['0.281', '0.036', '0.458', '0.297', '0.380', '0.396'];['0.021', '0.255', '0.000', '-0.036', '-0.089', '-0.068'];586684
39;emotions;2;False;meka.classifiers.multilabel.RAkELd -P 3 -N 5 -batch-size 10;weka.classifiers.rules.PART -- -M 3 -B;0.473;0.473;0.75;0.226;0.527;0.25;0.774;0.6;0.397;0.295;0.587;0.447;1.321;0.598;0.588;0.593;0.577;0.593;0.583;0.478;0.698;1.959;0.039;1.998;['0.729', '0.673', '0.729', '0.854', '0.764', '0.754'];['0.633', '0.568', '0.730', '0.786', '0.634', '0.671'];['0.536', '0.417', '0.677', '0.708', '0.596', '0.625'];['0.517', '0.455', '0.739', '0.694', '0.500', '0.556'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['0.281', '0.302', '0.482', '0.241', '0.236', '0.281'];['0.010', '-0.025', '-0.040', '0.005', '0.045', '0.035'];200977
40;emotions;0;False;meka.classifiers.multilabel.RAkELd -P 1 -N 3 -batch-size 10;weka.classifiers.rules.DecisionTable -- -E acc -I -S BestFirst -X 2;0.377;0.377;0.744;0.203;0.623;0.256;0.797;0.452;0.458;0.331;0.548;0.459;1.346;0.647;0.45;0.678;0.44;0.531;0.5;0.464;0.659;3.65;0.059;3.709;['0.724', '0.740', '0.672', '0.818', '0.766', '0.745'];['0.513', '0.222', '0.646', '0.718', '0.534', '0.700'];['0.568', '0.875', '0.671', '0.667', '0.677', '0.609'];['0.362', '0.125', '0.557', '0.600', '0.375', '0.619'];['0.302', '0.292', '0.458', '0.260', '0.292', '0.328'];['0.193', '0.042', '0.380', '0.234', '0.161', '0.333'];['0.109', '0.250', '0.078', '0.026', '0.130', '-0.005'];115630
41;emotions;1;False;meka.classifiers.multilabel.RAkELd -P 1 -N 3 -batch-size 10;weka.classifiers.rules.DecisionTable -- -E acc -I -S BestFirst -X 2;0.402;0.402;0.744;0.158;0.598;0.256;0.842;0.529;0.455;0.298;0.535;0.458;1.358;0.589;0.522;0.576;0.504;0.553;0.522;0.45;0.67;2.919;0.015;2.934;['0.757', '0.658', '0.683', '0.837', '0.743', '0.787'];['0.586', '0.407', '0.685', '0.787', '0.349', '0.751'];['0.595', '0.341', '0.620', '0.648', '0.600', '0.652'];['0.439', '0.273', '0.705', '0.714', '0.214', '0.683'];['0.282', '0.272', '0.436', '0.243', '0.277', '0.312'];['0.208', '0.218', '0.495', '0.267', '0.099', '0.327'];['0.074', '0.054', '-0.059', '-0.025', '0.178', '-0.015'];106232
42;emotions;2;False;meka.classifiers.multilabel.RAkELd -P 1 -N 3 -batch-size 10;weka.classifiers.rules.DecisionTable -- -E acc -I -S BestFirst -X 2;0.504;0.504;0.758;0.201;0.496;0.242;0.799;0.665;0.417;0.259;0.589;0.434;1.281;0.594;0.683;0.582;0.672;0.636;0.615;0.498;0.729;3.145;0.06;3.205;['0.704', '0.709', '0.724', '0.809', '0.799', '0.804'];['0.474', '0.658', '0.721', '0.830', '0.726', '0.797'];['0.487', '0.478', '0.643', '0.573', '0.648', '0.662'];['0.328', '0.582', '0.841', '0.878', '0.625', '0.778'];['0.291', '0.276', '0.442', '0.246', '0.281', '0.317'];['0.196', '0.337', '0.578', '0.377', '0.271', '0.372'];['0.095', '-0.060', '-0.136', '-0.131', '0.010', '-0.055'];135789
43;emotions;0;False;meka.classifiers.multilabel.PSt -P 5 -N 1;weka.classifiers.functions.SimpleLogistic -- -W 0.30000000000000004 -S;0.496;0.496;0.753;0.25;0.504;0.247;0.75;0.621;0.344;0.195;0.769;0.448;0.569;0.622;0.59;0.631;0.583;0.606;0.603;0.638;0.786;2.701;0.038;2.739;['0.745', '0.682', '0.714', '0.854', '0.792', '0.729'];['0.672', '0.613', '0.708', '0.734', '0.682', '0.677'];['0.579', '0.460', '0.694', '0.789', '0.674', '0.587'];['0.569', '0.518', '0.670', '0.600', '0.554', '0.587'];['0.302', '0.292', '0.458', '0.260', '0.292', '0.328'];['0.297', '0.328', '0.443', '0.198', '0.240', '0.328'];['0.005', '-0.036', '0.016', '0.063', '0.052', '0.000'];45753
