id;Dataset;normalize;meka;weka;F1 (macro averaged by label);Model Size
22;emotions;False;meka.classifiers.multilabel.MCC -Iy 97 -Is 634 -P 'Log Loss (lim. L)';weka.classifiers.functions.VotedPerceptron -- -I 1 -M 19427 -E 2.500000000000001;0.08618000000000002;2596252.72082919
23;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 256 -K 7 -depth 15;0.7002400000000005;33867001.10955835
24;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 31 -K 7 -depth 15;0.6834;4098552.9569366644
25;emotions;False;meka.classifiers.multilabel.PS -P 5 -N 5;weka.classifiers.functions.Logistic -- -R 0.0001;0.5513100000000009;34034.00000000021
26;emotions;False;meka.classifiers.multilabel.RAkELd -P 3 -N 2 -batch-size 6;weka.classifiers.functions.SimpleLogistic -- -W 0.30000000000000004 -S -A;0.5983399999999994;50293.000000000364
27;emotions;False;meka.classifiers.multilabel.RAkELd -P 3 -N 2 -batch-size 6;weka.classifiers.functions.SimpleLogistic -- -W 0.30000000000000004 -S -A;0.5983399999999994;50293.000000000364
28;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.bayes.NaiveBayes --;0.6280000000000008;354756.033387941
29;emotions;True;meka.classifiers.multilabel.PS -P 5 -N 5;"weka.classifiers.functions.SMO -- -C 0.6 -N 2 -M -K ""weka.classifiers.functions.supportVector.Puk -O 0.2 -S 5.5""";0.5738300000000001;1215915.6426008428
30;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 31 -K 0 -depth 2;0.5980099999999993;417482.22147020703
31;emotions;False;meka.classifiers.multilabel.PS -P 5 -N 5;weka.classifiers.functions.Logistic -- -R 0.0001;0.5513100000000009;34034.00000000021
32;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.bayes.NaiveBayes --;0.6280000000000008;354756.033387941
33;emotions;False;meka.classifiers.multilabel.PS -P 2 -N 5;weka.classifiers.functions.Logistic -- -R 0.0001;0.5696200000000007;37687.99999999965
34;emotions;False;meka.classifiers.multilabel.RAkELd -P 2 -N 2 -batch-size 6;weka.classifiers.functions.SimpleLogistic -- -W 0.30000000000000004 -S;0.5702400000000004;50293.000000000364
35;emotions;False;meka.classifiers.multilabel.PS -P 3 -N 5;weka.classifiers.functions.Logistic -- -R 0.0001;0.5613600000000004;35255.999999999985
36;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomTree -- -M 62 -K 0 -depth 15 -N 4;0.5455699999999996;62222.3179940278
37;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 256 -K 7 -depth 15;0.7002400000000005;33867001.10955835
38;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 256 -K 7 -depth 15;0.7002400000000005;33867001.10955835
39;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1;0.6600375555555565;961796.5923570795
40;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -P 1;0.6600375555555565;961796.5923570795
41;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1;0.6600375555555565;961796.5923570795
42;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 256 -K 7 -depth 15;0.7002400000000005;33867001.10955835
43;emotions;False;meka.classifiers.multilabel.PS -P 2 -N 5;weka.classifiers.functions.Logistic -- -R 0.0001;0.5696200000000007;37687.99999999965
44;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 256 -K 7 -depth 15;0.7002400000000005;33867001.10955835
45;emotions;False;meka.classifiers.multilabel.PS -P 5 -N 5;weka.classifiers.functions.Logistic -- -R 0.0001;0.5513100000000009;34034.00000000021
