id;Dataset;normalize;meka;weka;F1 (macro averaged by label);Model Size
84;emotions;False;meka.classifiers.multilabel.RAkELd -P 3 -N 2 -batch-size 6;weka.classifiers.functions.SimpleLogistic -- -W 0.30000000000000004 -S -A;0.5983399999999994;50293.000000000364
85;emotions;False;meka.classifiers.multilabel.RAkELd -P 2 -N 5 -batch-size 6;weka.classifiers.trees.J48 -- -M 22 -B -A -C 0.15000000000000002 -O;0.5673600000000003;25653.709816696537
86;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -P 1;0.6600375555555565;961796.5923570795
87;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 256 -K 7 -depth 15;0.7002400000000005;33867001.10955835
88;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 31 -K 7 -depth 15;0.6834;4098552.9569366644
89;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 112 -K 7 -depth 18;0.7040900000000004;15302958.560544418
90;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomTree -- -M 62 -K 0 -depth 15 -N 4;0.5455699999999996;62222.3179940278
91;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.bayes.NaiveBayes --;0.6280000000000008;354756.033387941
92;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.bayes.NaiveBayes --;0.6280000000000008;354756.033387941
93;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -P 1;0.6600375555555565;961796.5923570795
94;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.bayes.BayesNet -- -D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -P 1;0.6600375555555565;961796.5923570795
95;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 31 -K 7 -depth 18;0.6826299999999997;4104535.7793073487
96;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 112 -K 7 -depth 18;0.7040900000000004;15302958.560544418
97;emotions;False;meka.classifiers.multilabel.RAkELd -P 3 -N 5 -batch-size 6;weka.classifiers.trees.J48 -- -M 47 -B -J -A -U;0.5766700000000003;19979.312053892274
98;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 31 -K 7 -depth 15;0.6834;4098552.9569366644
99;emotions;False;meka.classifiers.multilabel.RAkELd -P 3 -N 5 -batch-size 6;weka.classifiers.trees.J48 -- -M 47 -B -J -A -U;0.5766700000000003;19979.312053892274
100;emotions;False;meka.classifiers.multilabel.FW;weka.classifiers.trees.RandomForest -- -I 112 -K 7 -depth 15;0.7030900000000001;15273206.756373791
